sl_no,project_name,agency,project_code,state,ministry,sector,approval_mm_yyyy,doc_original,doc_revised,cost_original_cr,cost_revised_cr,expenditure_cr,physical_progress_pct,report_period,cost_overrun_pct,time_overrun_months,planned_duration_months
1464,Construction of 2-lane with hard shoulder of Kohima - Jessami road on NH-29 Old NH- 150 from existing Km 30.474 Near Kidwema road Chakahabama to existing Km 53.220 Near Kikruma Village Design Km 29.60 to Km 51.50 Design length-21.90 Km in the state of Nagaland Under Bharatmala Pariyojna on EPC Mode under NHO Package-II -Balance work,NHIDCL,618297,Nagaland,Ministry of Road Transport & Highways,Roads & Highways,03/2020,01/2026,12/2026,355.79,355.79,0.0,43.13,2026-06,0.0,11.0,70
1465,4-Laning of Balance work of Dimapur-Kohima Road from design km 152.490 to km 166.700 Existing km 156.000 to km 172.900 Excluding Dimapur & Kohima Bypass under SARDP-NE Package-III,NHIDCL,618328,Nagaland,Ministry of Road Transport & Highways,Roads & Highways,03/2016,09/2025,07/2026,562.98,794.75,535.96,84.32,2026-06,41.1684,10.0,114
1466,"Widening to 2 Lane with Hard shoulder of Akegwo-Avangkhu section of NH-202K for Package-I Design Chainage 0000 Km to 34795 Km, in the State of Nagaland on EPC mode under NH O-NE",NHIDCL,618364,Nagaland,Ministry of Road Transport & Highways,Roads & Highways,12/2022,02/2026,02/2026,430.24,430.24,0.0,87.0,2026-06,0.0,0.0,38
1467,Widening to 2 Lane with Hard shoulder of Akegwo-Avangkhu section of NH-202K for Package-III Design Chainage 69875 Km to 106816 Km in the State of Nagaland on EPC mode under NHO-NE,NHIDCL,618365,Nagaland,Ministry of Road Transport & Highways,Roads & Highways,12/2022,02/2026,02/2026,497.18,497.18,0.0,85.67,2026-06,0.0,0.0,38
1468,Widening to 2 Lane with Hard shoulder of Akegwo-Avangkhu section of NH-202K for Package-II Design Chainage 34795 Km to 69875 Km in the State of Nagaland on EPC mode under NHO-NE,NHIDCL,618366,Nagaland,Ministry of Road Transport & Highways,Roads & Highways,12/2022,02/2026,02/2026,442.54,442.54,0.0,58.5,2026-06,0.0,0.0,38
1469,Construction of 2 laning with Hard shoulder of Peren-Dimapur section on NH 129A from Design Km 146.208 to Km 163.592 Length- 17.384 km in the state of Nagaland on EPC mode under NHO-TSP Package-III,NHIDCL,618413,Nagaland,Ministry of Road Transport & Highways,Roads & Highways,02/2021,06/2025,07/2026,177.77,199.02,0.0,95.62,2026-06,11.9536,13.0,52
1470,Construction of Balance work for 2-lane with hard shoulder of Peren- Dimapur section on NH-129A from Design Km 126.775 to Km 146.208 Length 19.433 Km in the state of Nagaland on EPC mode under NHO-TSP Package-II,NHIDCL,618414,Nagaland,Ministry of Road Transport & Highways,Roads & Highways,01/2021,09/2025,09/2025,258.52,258.52,135.86,96.53,2026-06,0.0,0.0,56
1471,"Construction of 2-lane with hard shoulders of Merangkong-Tamlu-Mon road Wakching Twon portion on EPC basis from existing Chainage Km 59000 to Km 73640 [Design Km. 59000 to Km, 72450] Design length - 13.450 Km under SARDP-NE package-V Balance work",NHIDCL,618422,Nagaland,Ministry of Road Transport & Highways,Roads & Highways,03/2021,09/2025,07/2026,161.73,161.73,101.21,99.75,2026-06,0.0,10.0,54
1472,Construction of 2-Lane with hard shoulders of Merangkong-Tamlu-Mon MTM Road from existing Km 20.456 to Km 41.065 Design Km. 20 to Km. 40.0 Design Length- 20.000 Km in the State of Nagaland under SARDP-NE Phase-A Pkg-2 Balance work,NHIDCL,618423,Nagaland,Ministry of Road Transport & Highways,Roads & Highways,03/2018,08/2025,03/2026,215.79,215.79,173.12,100.0,2026-06,0.0,7.0,89
1473,Construction of 2-Lane with hard shoulders of Merangkong-Tamlu-Mon Road on EPC Basis from existing road Km. 76.640 to Km 98.065 Design chainage Km. 63.800 to Km. 86.835 Design Length-23.035 Km in the state of Nagaland under SARDP-NE PKG-IV Balance work,NHIDCL,619059,Nagaland,Ministry of Road Transport & Highways,Roads & Highways,03/2018,09/2025,12/2026,323.98,323.98,143.39,79.03,2026-06,0.0,15.0,90
1474,New construction of Major Bridge with Approaches from Km 0.000 to 1.200 Madhopur -Badabanta section of NH-20 under NHO in Annual Plan 2022-23 in the State of Odisha,MoRTH,617898,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2023,10/2027,10/2027,199.5,199.5,0.32,0.0,2026-06,0.0,0.0,55
1475,Widening and Strengthening to 4LPS/2LPS from km 0.000 to 35.800 Kuakhia - Mangalpur section of NH 20 in the state of Odisha on Annual Plan 2021-22,MoRTH,617899,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2022,02/2026,11/2026,636.1,636.1,296.22,56.11,2026-06,0.0,9.0,47
1476,construction or By-pass road on NH-26 for Nabrangpur Town,MoRTH,617902,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2023,12/2026,12/2026,168.95,168.95,10.62,35.0,2026-06,0.0,0.0,45
1477,Construction of Bypass road to Balangir town from km 72/400 Desing km 0/0 to km 79/800 Design km 11/670 of NH-26 in the State of Odisha.,MoRTH,617904,Odisha,Ministry of Road Transport & Highways,Roads & Highways,02/2022,10/2025,07/2026,238.78,238.78,6.79,55.0,2026-06,0.0,9.0,44
1478,Construction of 4 lane ROB with approaches in lieu of LC No. RV-172 at km 176.00 of NH-201 present NH-26 at Kesinga including land acquisition in the state of Odisha on EPC mode under Annual Plan 2021-22,MoRTH,617905,Odisha,Ministry of Road Transport & Highways,Roads & Highways,12/2021,05/2025,10/2026,324.09,324.09,88.48,70.09,2026-06,0.0,17.0,41
1479,Widening and Strengthening to 2LPS including LA from km 318.970 to 353.450 Balikuda-Mulkani Section of NH-55 under NHO in Annual Plan 2022-23 in the State of Odisha. Job No. NH-55-OD-2022-23-656,MoRTH,617920,Odisha,Ministry of Road Transport & Highways,Roads & Highways,01/2022,06/2027,06/2027,511.54,511.54,0.0,3.0,2026-06,0.0,0.0,65
1480,Widening and strengthening to 2LPS including LA of Kandarpur-Balikuda from km 277/500 to 318/970 of NH-55 in the State of Odisha under Annual Plan 2021-22.,MoRTH,617921,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2022,06/2025,11/2026,499.79,499.79,131.36,60.65,2026-06,0.0,17.0,39
1481,Construction of Jharsuguda Bypass including Land acqusition on NH-49 from km 258.636 to km 283.300 design chainage 258.636 to km 289.876 under NHO in Annual Plan 2022-23 for the state of Odisha Job No.NH-49-OD-2022-23-655,MoRTH,617922,Odisha,Ministry of Road Transport & Highways,Roads & Highways,09/2021,07/2027,07/2027,587.1,587.1,52.51,23.0,2026-06,0.0,0.0,70
1482,Construction of Daspalla Bypass from km 195.250 To 200.635 of NH-57 including land acquisition in the state of Odisha on EPC mode under Annual Plan 2022-23.,MoRTH,617923,Odisha,Ministry of Road Transport & Highways,Roads & Highways,02/2023,05/2027,05/2027,155.97,155.97,50.04,25.0,2026-06,0.0,0.0,51
1483,Construction of Bypass to Khordha town from Km 294/000 to 300/300 on NH-57 including LA in the State of Odisha on EPC mode.,MoRTH,617925,Odisha,Ministry of Road Transport & Highways,Roads & Highways,02/2022,11/2024,07/2026,157.49,157.49,33.67,92.0,2026-06,0.0,20.0,33
1484,Construction of Bypass on NH-59 from Km 336/350 to 349/910 13.56 km near Berhampur town including 4-lane RoB in the state of Odisha.,MoRTH,617930,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2021,12/2025,12/2026,196.94,196.94,59.54,70.0,2026-06,0.0,12.0,57
1485,Construction of four lane ROB and its approaches in lieu of existing Level Crossing No. RV-71 at km 435 on NH-217 New NH-353 at Khariar including land acquisition under NHO in Annual Plan 2021-22 for the state of Odisha for F.Y. 2021-22 to F.Y 2033-34,MoRTH,618003,Odisha,Ministry of Road Transport & Highways,Roads & Highways,11/2021,12/2024,07/2026,154.49,154.49,25.17,90.0,2026-06,0.0,19.0,37
1486,"Widening & strengthenlng to 2LPS from km 0,000 to 40.000 Dhaugaon- Podamari section of NH 326 in the State of Odisha under Annual Plan 2021.22.",MoRTH,618012,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2022,02/2026,12/2026,186.52,186.52,46.39,60.0,2026-06,0.0,10.0,47
1487,Construction of Dharmagarh Bypass on NH-130C including land acquisition in the state of Odisha on EPC Mode under Annual plan 2022-23.,MoRTH,618079,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2023,10/2026,10/2026,172.66,172.66,0.0,15.0,2026-06,0.0,0.0,43
1488,Widening to 2 lane with paved shoulded of Jareikela Jharkhand/Odisha Border - Dhabaleswar section from 0/0 to 36/0 of NH-320D in the State of Odisha under Annual Plan 2021-22.,MoRTH,618122,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2022,10/2026,10/2026,172.09,172.09,0.0,32.0,2026-06,0.0,0.0,55
1489,Bhadrak KM 136.500 to Baleshwar KM 199.141,NHAI,618523,Odisha,Ministry of Road Transport & Highways,Roads & Highways,11/2014,09/2021,11/2026,844.67,1394.82,783.79,91.32,2026-06,65.1319,62.0,82
1490,"Construction of 6-lane flyover at Ainthapali junction and a 2-lane ROB LHS on NH-53 Earlier NH-6 in Sambalpur, on EPC mode in Odisha under NHO",NHAI,618591,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2024,12/2026,12/2026,374.17,211.74,106.42,50.87,2026-06,-43.4107,0.0,33
1491,"Balance work of 8 nos. of Elephant Underpasses EUPs, 1 no. of Vehicular Underpass VUP, 1 nos. of Light Vehicular Underpass LVUP, 1 nos. of Pedestrian Underpass PUP, 1 nos. of Foot Over Bridge FOB and A2 side approach of Jharpokharia Flyover at Km.215.270 in Baharagora-Singhara section of NH-49",NHAI,618592,Odisha,Ministry of Road Transport & Highways,Roads & Highways,09/2023,05/2026,10/2027,320.64,244.85,54.79,22.85,2026-06,-23.6371,17.0,32
1492,Balance work of Rehabilitation and Upgradation to four laning of Baharagora Singhara section of NH-49 from Km.229.727 to Km.238.990 Length 9.263 Km. including construction of five nos. of Elephant Underpasses EUP and fourteen nos. of Animal Underpasses AUP inside the buffer zone of Similipal Tiger Reserve Area in Bangriposi Ghat section in the State of Odisha on EPC Mode,NHAI,618593,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2025,11/2027,11/2027,263.32,163.07,13.82,9.8,2026-06,-38.0715,0.0,32
1493,6L Greenfield Kaliagura Baunsaguar Section of NH-130-CD Road from km 249000 to km 293000 Package OD-5,NHAI,618677,Odisha,Ministry of Road Transport & Highways,Roads & Highways,09/2021,05/2024,11/2026,1539.75,1918.49,998.13,96.8,2026-06,24.5975,30.0,32
1494,6L Greenfield Baunsaguar - Baraja Section of NH-130-CD Road from km 293000 to km 338500 Package OD-6,NHAI,618678,Odisha,Ministry of Road Transport & Highways,Roads & Highways,08/2021,05/2024,07/2026,1265.59,1635.44,969.31,99.4,2026-06,29.2235,26.0,33
1495,6L Greenfield Kandili - Aluru Section of NH-130-CD Road from km 342500 to km 365033 Package-OD-8,NHAI,618680,Odisha,Ministry of Road Transport & Highways,Roads & Highways,12/2021,10/2024,07/2026,1492.74,1912.84,1064.81,99.9,2026-06,28.1429,21.0,34
1496,6L Flyover including RE Wall approaches with Flexible Pavement in the Elephant Corridor of Angul Sambalpur Section of NH-42 New NH-55 Km.202.533,NHAI,618704,Odisha,Ministry of Road Transport & Highways,Roads & Highways,09/2023,01/2027,07/2026,150.86,106.32,106.14,99.99,2026-06,-29.5241,-6.0,40
1497,"4L Godibandha to Ballhar Chhak, Ballhar Chhak to Banarpal & Banarpal to Start of Angul bypass at Km.314.130 to Km.321.035 of NH53, at Km.75.200 to Km.84.000 of NH149 & at Km.84.000 to Km.86.100 of NH55",NHAI,618705,Odisha,Ministry of Road Transport & Highways,Roads & Highways,12/2024,02/2028,02/2028,973.12,973.12,238.15,4.2,2026-06,0.0,0.0,38
1498,Rehabilitation and Up gradation from 4 to 8 laning of Chandikhole Paradip Section of NH-53 Old NH 5A from Km.39.000 to Km.60.00 Package-3,NHAI,618820,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2023,12/2025,02/2027,861.84,938.55,390.03,91.8,2026-06,8.9007,14.0,33
1499,Rehabilitation and Up gradation from 4 to 8 laning of Chandikhole Paradip Section of NH-53 Old NH 5A from Km 18.00 to Km 39.00 in the State of Odisha on HAM mode Package-2,NHAI,618821,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2023,12/2025,08/2026,920.47,950.4,421.6,91.0,2026-06,3.2516,8.0,33
1500,Rehabilitation and Up gradation from 4 to 8 laning of Chandikhole Paradip Section of NH-53 Old NH 5A from Km.0.00 to Km.18.00Package-1,NHAI,618822,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2023,12/2025,08/2026,929.91,869.45,398.91,92.3,2026-06,-6.5017,8.0,33
1501,3L Major Bridge over River Brahmani at Km. 401.250 Duburi - Chandikhole Section of NH-200 New NH -53,NHAI,618908,Odisha,Ministry of Road Transport & Highways,Roads & Highways,04/2022,01/2025,09/2027,153.61,103.68,73.59,38.0,2026-06,-32.5044,32.0,33
1502,6L of Badakumari - Karki Section from Km 179.000 to km 226.500 of NH-130-CD Package OD-3,NHAI,619109,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2021,04/2024,07/2026,1101.76,1374.43,713.4,99.7,2026-06,24.7486,27.0,37
1503,Four Laning of Angul to Sambalpur from Km.112.000 to Km.265.000,NHAI,619118,Odisha,Ministry of Road Transport & Highways,Roads & Highways,09/2016,08/2019,07/2026,2510.04,2632.91,2459.45,99.98,2026-06,4.8951,83.0,35
1504,Cuttack-Angul Section of NH-42 New NH-55 from km 0.400 to km 60.200 Pkg-I in the State of Odisha,NHAI,619119,Odisha,Ministry of Road Transport & Highways,Roads & Highways,10/2017,07/2020,09/2026,999.32,1178.31,1128.44,99.0,2026-06,17.9112,74.0,33
1505,4 Laning of Talcher to end of Kamakhyanagar Bypass km 8.844 - km 15.725 of NH- 149 and km 301.875 - km 335.946 of NH-53 Pkg-I,NHAI,619157,Odisha,Ministry of Road Transport & Highways,Roads & Highways,01/2018,08/2021,10/2026,795.18,810.71,713.62,99.0,2026-06,1.953,62.0,43
1506,4 Laning of Duburi Chandikhole from km 388.376 to km 428.074 Pkg-III,NHAI,619158,Odisha,Ministry of Road Transport & Highways,Roads & Highways,01/2018,08/2022,10/2026,789.0,907.61,724.86,86.0,2026-06,15.033,50.0,55
1507,Rehabilitation and Up gradation from 4 to 8 laning of Chandikhole Paradip Section of NH-53 Old NH 5A from Km.60.000 to Km.76.646 Package-4,NHAI,619181,Odisha,Ministry of Road Transport & Highways,Roads & Highways,03/2023,10/2026,10/2027,882.45,1009.92,196.63,33.02,2026-06,14.445,12.0,43
1508,6L of Hatibena - Badakumari Section from Km 146.50 to km 179.00 of NH-130-CD Package OD-2,NHAI,619213,Odisha,Ministry of Road Transport & Highways,Roads & Highways,02/2021,03/2024,07/2026,791.17,1070.63,733.58,99.95,2026-06,35.3224,28.0,37
1509,Cuttack-Angul Section of NH-42 New NH-55 from Km.60.200 to Km. 112.000 Pkg-II in the State of Odisha,NHAI,619215,Odisha,Ministry of Road Transport & Highways,Roads & Highways,10/2017,09/2020,09/2026,991.41,1168.82,1083.76,99.66,2026-06,17.8947,72.0,35
1510,Development to 4-lane with paved shoulder for the road section Talwandi Sabo- Raman road to refinery Road junction with Bathinda Dabwali Road of NH-254 from existing Km 131.600 to Km 155.650 Design Km 131600 to km 155600 in the State of Punjab. Job No NH-254-PB-2022-23-565,MoRTH,618010,Punjab,Ministry of Road Transport & Highways,Roads & Highways,03/2023,11/2026,11/2026,546.67,546.67,0.0,45.0,2026-06,0.0,0.0,44
1511,Work of Widening/upgradation of 2-Lane with paved shoulder of Sri Muktsar Sahib to Malout road from Km 279.400 to Km 307.060 section of NH-354 in the State of Punjab on EPC mode. Job No. NH-354-PB-2021-22-555,MoRTH,618023,Punjab,Ministry of Road Transport & Highways,Roads & Highways,03/2022,04/2025,03/2026,152.58,152.58,0.0,100.0,2026-06,0.0,11.0,37
1512,Up-gradation to two lane with paved shoulder configuration of NH-354 Section Arifkes- Ferozepur-Muktsar-Malaut from Km 201.500 to Km 212.500 & Km 229.690 to Km 269.960 and strengthening of existing pavement from Km 212.500 to Km 229.690 excluding Km 218.500 to 223.690 of NH-354 on EPC Mode in the State of Punjab. Job No. NH-354-PB-2020-21-532,MoRTH,618024,Punjab,Ministry of Road Transport & Highways,Roads & Highways,03/2021,04/2025,09/2026,263.19,263.19,0.0,83.0,2026-06,0.0,17.0,49
1513,Delhi-Amritsar-Katra Expressway Phase-I Pkg-VIII from Junction with Ludhiana- Malerkotla SH-11 near Bhogiwal village to Junction with Ludhiana-Moga road NH-5 near Mullanpur Dakha Km 225770 to km 260860,NHAI,618488,Punjab,Ministry of Road Transport & Highways,Roads & Highways,12/2020,03/2025,12/2026,1895.74,2034.94,1274.51,31.08,2026-06,7.3428,21.0,51
1514,Delhi-Amritsar-Katra Expressway Phase-I Pkg-IX from Junction with Ludhiana-Moga road NH-5 near Mullanpur Dakha to Junction with Jalandhar - Moga road NH-703 near Kang Sahibu village Km 260860 to km 303900,NHAI,618489,Punjab,Ministry of Road Transport & Highways,Roads & Highways,12/2020,07/2024,03/2027,1851.47,2407.14,1934.7,73.35,2026-06,30.0124,32.0,43
1515,Delhi-Amritsar-Katra Expressway Phase-I Pkg-X from Jn. with Jalandhar - Moga road NH-703 to Jn. with Jalandhar-Kapurthala road NH-703A and to Jn. with Kapurthala - Sultanpur Lodhi road NH-703A km 000 to km 24000 to Amritsar connectivity,NHAI,618490,Punjab,Ministry of Road Transport & Highways,Roads & Highways,12/2020,07/2024,07/2026,2177.54,2062.74,1524.23,62.99,2026-06,-5.272,24.0,43
1516,Delhi-Amritsar-Katra Expressway Phase-I Pkg-XI from Junction with Jalandhar - Kapurthala road NH-703A near khojewal village to Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur Km 319400 to km 362420,NHAI,618491,Punjab,Ministry of Road Transport & Highways,Roads & Highways,03/2021,11/2024,12/2026,2175.35,2206.71,1377.13,43.45,2026-06,1.4416,25.0,44
1517,Delhi-Amritsar-Katra Expressway Phase-I Pkg-XII from Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur to Junction with Pathankot-Gurdaspur road NH-54 near Gurdaspur Km 362420 to km 397700,NHAI,618492,Punjab,Ministry of Road Transport & Highways,Roads & Highways,03/2021,02/2027,06/2027,1734.18,1538.47,773.53,27.52,2026-06,-11.2854,4.0,71
1518,Delhi-Amritsar-Katra Expressway Phase-I Spur-I from Jn. with Kapurthala - Sultanpur Lodhi Road NH-703A near Isharwal village to Jn. with Kapurthala - Tarn Taran road NH-703AA near Goinwal Sahib [Km 24000 to Km 41000 of Amritsar connectivity],NHAI,618493,Punjab,Ministry of Road Transport & Highways,Roads & Highways,12/2021,04/2026,03/2028,2165.23,1519.6,603.8,33.49,2026-06,-29.8181,23.0,52
1519,Greenfield connectivity from Govindsar village on Delhi Amritsar Katra Expressway to Talwara village on NH-44 Pathankot by-pass,NHAI,618551,Punjab,Ministry of Road Transport & Highways,Roads & Highways,11/2024,07/2027,07/2027,666.81,690.47,215.06,28.5,2026-06,3.5482,0.0,32
1520,Development of 6L Greenfield Jalandhar Bypass starting from Kahlwan NH-03 ending at Kang Sahbu NH-703 via Sarmastpur NH-44 - Madara NH-03 - Khajurla NH-44,NHAI,618552,Punjab,Ministry of Road Transport & Highways,Roads & Highways,03/2021,01/2025,06/2027,1754.84,2167.39,1252.02,54.01,2026-06,23.5093,29.0,46
1521,6L of Jodhpur Romana Bathinda - Mandi Dabwali Punjab Haryana Border section of NH-54 from km. 0.000 to km. 27.400 of NH-54,NHAI,618610,Punjab,Ministry of Road Transport & Highways,Roads & Highways,05/2020,08/2025,07/2026,789.26,1318.91,688.68,99.0,2026-06,67.1072,11.0,63
1522,6L Amritsar-Bathinda Greenfield section from village Tiba on NE-5A to Jn. with Moga Jalandhar road NH-703 near Dharamkot from km 0.000 to km 39.000 of NH-754A Pkg-1,NHAI,618617,Punjab,Ministry of Road Transport & Highways,Roads & Highways,03/2021,11/2024,12/2027,1229.38,1549.32,969.03,71.6,2026-06,26.0245,37.0,44
1523,6L Amritsar-Bathinda Greenfield section from Jn. with Bhagta Bhai Ka-Bhadaur Road near Dyalpura Bhai Ka to Jn. with Mandi Dabwali Bathinda Road on NH-54 near Sangat Kalan from km 93.000 to km 154.866 of NH-754A Pkg-3,NHAI,618618,Punjab,Ministry of Road Transport & Highways,Roads & Highways,03/2021,06/2026,07/2027,2029.17,2677.23,1440.11,72.0,2026-06,31.9372,13.0,63
1524,6L Access Controlled Ludhiana-Bathinda Greenfield highway from Jn. with Amritsar- Bathanda Greenfield Road NH-754A near Rampura Phul to Jn. with Moga-Barnala Road NH-703 near village Tallewal from Km 0.0 to Km 30.3 of NH-754AD Pkg-1,NHAI,618647,Punjab,Ministry of Road Transport & Highways,Roads & Highways,06/2021,09/2025,10/2026,906.51,1020.52,687.75,81.5,2026-06,12.5768,13.0,51
1525,"Development of 6-lane Greenfield Southern Ludhiana Bypass from intersection with NH-44 near Village Rajgarh to intersection with Delhi Katra Expressway NE-5 near Village Ballowal, km 0000 to km 25240",NHAI,618648,Punjab,Ministry of Road Transport & Highways,Roads & Highways,11/2024,03/2028,03/2028,1424.55,1424.55,145.14,3.54,2026-06,0.0,0.0,40
1526,Moga - Bagha Purana - Bajakhana from km. 0.00 to km. 43.32,NHAI,618764,Punjab,Ministry of Road Transport & Highways,Roads & Highways,05/2020,12/2024,12/2026,1032.59,1264.17,787.04,76.0,2026-06,22.4271,24.0,55
1527,4L of Greenfield section from Sirhind to Mohali,NHAI,618776,Punjab,Ministry of Road Transport & Highways,Roads & Highways,03/2022,05/2025,09/2026,1237.65,1301.15,1383.52,96.78,2026-06,5.1307,16.0,38
1528,4/6L Greenfield LudhianaRupnagar highway from Jn. with NE-5 village near to ManewalLudhiana to Jn. with NH-205 near Bheora Village Rupnagar from Km 66.0 to Km 91.0 i/c spur to Kharar from Km 0.0 to Km 19.5 with Ludhiana bypass of NH-205K Pkg-3,NHAI,618785,Punjab,Ministry of Road Transport & Highways,Roads & Highways,07/2021,02/2025,12/2026,1501.02,1815.13,1158.7,79.86,2026-06,20.9264,22.0,43
1529,4L of Phagwara - Hoshiarpur,NHAI,618786,Punjab,Ministry of Road Transport & Highways,Roads & Highways,11/2022,03/2027,07/2027,1196.38,1503.79,535.6,20.03,2026-06,25.695,4.0,52
1530,4L of Fazilka to Abohar section of NH-07 including construction of Greenfield Abohar & Fazilka Bypasses,NHAI,618793,Punjab,Ministry of Road Transport & Highways,Roads & Highways,03/2023,04/2026,07/2027,1409.88,1674.04,881.3,67.0,2026-06,18.7363,15.0,37
1531,Amritsarairport Junction - Ramdas from km. 100.835 to km. 139.813 Pkg - IV,NHAI,618794,Punjab,Ministry of Road Transport & Highways,Roads & Highways,12/2020,09/2023,09/2026,524.88,416.58,394.14,96.0,2026-06,-20.6333,36.0,33
1532,Amritsar Bypass Pkg III from km. 71.496 to km. 105.158,NHAI,618795,Punjab,Ministry of Road Transport & Highways,Roads & Highways,02/2021,08/2024,12/2026,1474.77,1228.42,1222.73,82.3,2026-06,-16.7043,28.0,42
1533,4L of Beas-Mehta-Batala-Dera Baba Nanak from intersection with Jalandhar-Amritsar Highway NH-3 near Beas till start of Batala Bypass near Village Acchhal from Km. 0.000 to Km. 31.300 Pkg-1,NHAI,618809,Punjab,Ministry of Road Transport & Highways,Roads & Highways,08/2021,06/2025,05/2027,809.51,966.99,669.72,67.8,2026-06,19.4537,23.0,46
1534,4L of existing Beas Baba Bakala - Dera Baba Nanak Section from start of Batala Bypass till intersection with Ajnala Gurdaspur Highway NH 354 near Dera Baba Nanak from Km. 31.300 to Km. 69.100 with Additional batala Bypass Pkg-II,NHAI,618810,Punjab,Ministry of Road Transport & Highways,Roads & Highways,10/2021,06/2025,03/2027,1003.38,993.6,792.5,80.7,2026-06,-0.9747,21.0,44
1535,4L of Amritsar-Ghoman - Tanda - Una Section from Km 8.270 to Km 54.000 of NH- 503A Package-I,NHAI,618906,Punjab,Ministry of Road Transport & Highways,Roads & Highways,12/2020,06/2024,03/2027,857.91,1443.47,754.44,68.4,2026-06,68.2542,33.0,42
1536,6L Amritsar-Bathinda Greenfield section from Jn. with Moga Jalandhar road NH-703 near Dharamkot to Jn. with Bhagta Bhai Ka-Bhadaur Road near Dyalpura Bhai Ka from km 39.000 to km 93.000 of NH-754A Pkg-2,NHAI,619099,Punjab,Ministry of Road Transport & Highways,Roads & Highways,03/2021,06/2026,06/2027,1801.37,2172.71,1268.39,64.6,2026-06,20.6143,12.0,63
1537,6L Access Controlled Ludhiana-Bathinda Greenfield highway from Jn. with Moga- Barnala Road NH-703 near village Tallewal to Jn. with Delhi-Katra Expressway NE-5 near Ludhiana village Ballowal from Km 30.300 to Km 75.543 of NH-754AD Pkg-2,NHAI,619105,Punjab,Ministry of Road Transport & Highways,Roads & Highways,07/2021,09/2027,09/2027,1555.13,1564.66,698.87,23.56,2026-06,0.6128,0.0,74
1538,Delhi-Amritsar-Katra Expressway Phase-I Spur-III from Junction with Amritsar- Jalandhar road NH-3 near Bhishambarpura to Junction with Amritsar-Anjala road NH- 354 near Amritsar Airport [Km 71000 to Km 99000 of Amritsar connectivity],NHAI,619200,Punjab,Ministry of Road Transport & Highways,Roads & Highways,03/2021,10/2024,10/2027,1641.75,1951.7,1345.26,33.58,2026-06,18.8792,36.0,43
1539,4/6L Greenfield Ludhiana Rupnagar highway from Jn. with NE-5 village near to ManewalLudhiana to Jn. with NH-205 near Bheora Village Rupnagar from Km. 0.00 to Km. 37.7 including spur to Kharar with Ludhiana bypass of NH-205K Pkg-1,NHAI,619318,Punjab,Ministry of Road Transport & Highways,Roads & Highways,05/2021,12/2024,12/2027,1368.91,1382.48,530.32,15.31,2026-06,0.9913,36.0,43
1540,Beawer Gomti 4LPS from km 58.245 to km 108.600 Pkg-I,MoRTH,617887,Rajasthan,Ministry of Road Transport & Highways,Roads & Highways,12/2020,10/2023,07/2026,379.23,379.23,206.48,100.0,2026-06,0.0,33.0,34
1541,Widening of Pachpadra-Bagundi Section to 4 Lane from Km 73/60 to 95/70 of NH-25 on EPC mode in the state of Rajasthan.,MoRTH,617901,Rajasthan,Ministry of Road Transport & Highways,Roads & Highways,01/2022,12/2024,07/2026,194.88,194.88,55.29,98.58,2026-06,0.0,19.0,35
1542,Construction of 2 lane with paved shoulder for the work of Development of remaining sections of NH-325 Balotra to sanderao via Jalore to 2 lane with paved shoulder configuration by Construction of Byasses for town portions1 Asotra- Brahmdham bypass 2Siwana Bypass 3 Mokalsar Bypass 4 Major realignment at Kathadi 5 Major realignment at Bishangarh 6 Jalore Bypass 7 Ahore Town portion 8 Dujana Bypass ,MoRTH,618011,Rajasthan,Ministry of Road Transport & Highways,Roads & Highways,12/2021,05/2024,10/2026,411.44,411.44,85.69,91.36,2026-06,0.0,29.0,29
1543,Upgradation to Two-lane with paved shoulder of Hanumangarh to Kenchiyan section from Km 0.000existing chainage-Km 23.200 to Km 49.605existing chainage-Km 74.645 of NH-54 in the State of Rajasthan on EPC mode.,MoRTH,618069,Rajasthan,Ministry of Road Transport & Highways,Roads & Highways,03/2022,10/2026,10/2026,334.64,334.64,0.0,70.0,2026-06,0.0,0.0,55
1544,Up-gradation to 2 lane with paved shoulder from Neechli Oden Nathdwara at Design Km 88.800 existing km 55.95 to Bhatewar at Design Km 142.028 existing km 0.00 of NH-162E in the State of Rajasthan on EPC mode.,MoRTH,618092,Rajasthan,Ministry of Road Transport & Highways,Roads & Highways,02/2023,10/2026,10/2026,606.61,606.61,0.0,60.39,2026-06,0.0,0.0,44
